published_date,bestsellers_date,list_name,title,author,primary_isbn13,publisher,rank,rank_last_week,weeks_on_list,amazon_product_url,book_image,description
2025-07-13,2025-06-28,Hardcover Fiction,DON'T LET HIM IN,Lisa Jewell,9781668033876,Atria,1,0,1,https://www.amazon.com/dp/1668033879?tag=thenewyorktim-20,https://static01.nyt.com/bestsellers/images/9781668033876.jpg,A man with dark secrets in his past may cause trouble for three women who did not heed the warning about him.
2025-07-13,2025-06-28,Hardcover Fiction,ATMOSPHERE,Taylor Jenkins Reid,9780593158715,Ballantine,2,1,4,https://www.amazon.com/dp/0593158717?tag=thenewyorktim-20,https://static01.nyt.com/bestsellers/images/9780593158715.jpg,"In the summer of 1980, Joan Goodwin begins training with a group of candidates for NASA’s space shuttle program."
2025-07-13,2025-06-28,Hardcover Fiction,A MOTHER'S LOVE,Danielle Steel,9780593498736,Delacorte,3,0,1,https://www.amazon.com/dp/0593498739?tag=thenewyorktim-20,https://static01.nyt.com/bestsellers/images/9780593498736.jpg,"After her handbag is stolen during a trip to Paris, a best-selling author with a traumatic past determines not to be a victim."
2025-07-13,2025-06-28,Hardcover Fiction,NEVER FLINCH,Stephen King,9781668089330,Scribner,4,3,5,https://www.amazon.com/dp/1668089335?tag=thenewyorktim-20,https://static01.nyt.com/bestsellers/images/9781668089330.jpg,Holly Gibney does double duty by helping head off acts of retribution and protecting a women’s rights activist.
2025-07-13,2025-06-28,Hardcover Fiction,BURY OUR BONES IN THE MIDNIGHT SOIL,V.E. Schwab,9781250320520,Tor,5,2,3,https://www.amazon.com/dp/1250320526?tag=thenewyorktim-20,https://static01.nyt.com/bestsellers/images/9781250320520.jpg,"Stories set in Santo Domingo de la Calzada in 1532, London in 1827 and Boston in 2019 explore hunger, love and rage."
2025-07-13,2025-06-28,Hardcover Fiction,THE FIRST GENTLEMAN,Bill Clinton and James Patterson,9780316565103,"Little, Brown and Knopf",6,5,4,https://www.amazon.com/dp/0316565105?tag=thenewyorktim-20,https://static01.nyt.com/bestsellers/images/9780316565103.jpg,"When President Wright’s husband goes on trial for murder, a pair of journalists search for answers."
2025-07-13,2025-06-28,Hardcover Fiction,GREAT BIG BEAUTIFUL LIFE,Emily Henry,9780593441299,Berkley,7,6,10,https://www.amazon.com/dp/059344129X?tag=thenewyorktim-20,https://static01.nyt.com/bestsellers/images/9780593441299.jpg,A writer looking for her big break competes against a Pulitzer winner to tell the story of an octogenarian with a storied past.
2025-07-13,2025-06-28,Hardcover Fiction,MY FRIENDS,Fredrik Backman,9781982112820,Atria,8,7,8,https://www.amazon.com/dp/1982112824?tag=thenewyorktim-20,https://static01.nyt.com/bestsellers/images/9781982112820.jpg,A young woman looks into the story behind a painting that was made 25 years ago and a small group of teens depicted in it; translated by Neil Smith.
2025-07-13,2025-06-28,Hardcover Fiction,ONYX STORM,Rebecca Yarros,9781649377159,Red Tower,9,8,23,https://www.amazon.com/dp/1649374186?tag=thenewyorktim-20,https://static01.nyt.com/bestsellers/images/9781649377159.jpg,"The third book in the Empyrean series. As enemies gain traction, Violet Sorrengail goes beyond the Aretian wards in search of allies."
2025-07-13,2025-06-28,Hardcover Fiction,THE DRAGON REPUBLIC,R.F. Kuang,9780063432932,Harper Voyager,10,0,1,https://www.amazon.com/dp/0063432935?tag=thenewyorktim-20,https://static01.nyt.com/bestsellers/images/9780063432932.jpg,The second book in the Poppy War series. The warrior Rin seeks to avenge the traitorous Empress.
2025-07-13,2025-06-28,Hardcover Fiction,BROKEN COUNTRY,Clare Leslie Hall,9781668078181,Simon & Schuster,11,0,14,https://www.amazon.com/dp/166807818X?tag=thenewyorktim-20,https://static01.nyt.com/bestsellers/images/9781668078181.jpg,Beth must confront her past when the man she once loved as a teenager returns to the village with his son.
2025-07-13,2025-06-28,Hardcover Fiction,THE RIVER IS WAITING,Wally Lamb,9781668006399,Marysue Rucci,12,9,3,https://www.amazon.com/dp/1668006391?tag=thenewyorktim-20,https://static01.nyt.com/bestsellers/images/9781668006399.jpg,"A man struggling in several areas of his life is sentenced to prison, where he encounters acts of kindness and brutality."
2025-07-13,2025-06-28,Hardcover Fiction,THE WEDDING PEOPLE,Alison Espach,9781250899576,Holt,13,15,30,https://www.amazon.com/dp/1250899575?tag=thenewyorktim-20,https://static01.nyt.com/bestsellers/images/9781250899576.jpg,A woman who is down on her luck forms an unexpected bond with the bride at a wedding in Rhode Island.
2025-07-13,2025-06-28,Hardcover Fiction,THE EMPEROR OF GLADNESS,Ocean Vuong,9780593831878,Penguin Press,14,14,7,https://www.amazon.com/dp/059383187X?tag=thenewyorktim-20,https://static01.nyt.com/bestsellers/images/9780593831878.jpg,A young man becomes the caretaker of an elderly widow and they form a bond over the course of a year.
2025-07-13,2025-06-28,Hardcover Fiction,THE KNIGHT AND THE MOTH,Rachel Gillig,9780316582704,Orbit,15,12,6,https://www.amazon.com/dp/0316582700?tag=thenewyorktim-20,https://static01.nyt.com/bestsellers/images/9780316582704.jpg,"Sybil Delling, who is gifted with the power of foresight, forms an alliance with a heretical knight when her sister Diviners disappear."
2025-07-20,2025-07-05,Hardcover Fiction,ATMOSPHERE,Taylor Jenkins Reid,9780593158715,Ballantine,1,2,5,https://www.amazon.com/dp/0593158717?tag=thenewyorktim-20,https://static01.nyt.com/bestsellers/images/9780593158715.jpg,"In the summer of 1980, Joan Goodwin begins training with a group of candidates for NASA’s space shuttle program."
2025-07-20,2025-07-05,Hardcover Fiction,EDGE OF HONOR,Brad Thor,9781982182274,Atria/Emily Bestler,2,0,1,https://www.amazon.com/dp/198218227X?tag=thenewyorktim-20,https://static01.nyt.com/bestsellers/images/9781982182274.jpg,The 24th book in the Scot Harvath series. Harvath goes after a cabal of shadowy elites.
2025-07-20,2025-07-05,Hardcover Fiction,NEVER FLINCH,Stephen King,9781668089330,Scribner,3,4,6,https://www.amazon.com/dp/1668089335?tag=thenewyorktim-20,https://static01.nyt.com/bestsellers/images/9781668089330.jpg,Holly Gibney does double duty by helping head off acts of retribution and protecting a women’s rights activist.
2025-07-20,2025-07-05,Hardcover Fiction,TUSK LOVE,Thea Guanzon,9780593874264,Random House Worlds,4,0,1,https://www.amazon.com/dp/0593874269?tag=thenewyorktim-20,https://static01.nyt.com/bestsellers/images/9780593874264.jpg,The romance developing between the daughter of a merchant and a half-orc may change the course of their lives.
2025-07-20,2025-07-05,Hardcover Fiction,A FORBIDDEN ALCHEMY,Stacey McEwan,9781668076187,Saga,5,0,1,https://www.amazon.com/dp/1668076187?tag=thenewyorktim-20,https://static01.nyt.com/bestsellers/images/9781668076187.jpg,"As war looms, Nina Harrow must make a fate-altering choice between a Craftsman and an Artisan."
2025-07-20,2025-07-05,Hardcover Fiction,BURY OUR BONES IN THE MIDNIGHT SOIL,V.E. Schwab,9781250320520,Tor,6,5,4,https://www.amazon.com/dp/1250320526?tag=thenewyorktim-20,https://static01.nyt.com/bestsellers/images/9781250320520.jpg,"Stories set in Santo Domingo de la Calzada in 1532, London in 1827 and Boston in 2019 explore hunger, love and rage."
2025-07-20,2025-07-05,Hardcover Fiction,GREAT BIG BEAUTIFUL LIFE,Emily Henry,9780593441299,Berkley,7,7,11,https://www.amazon.com/dp/059344129X?tag=thenewyorktim-20,https://static01.nyt.com/bestsellers/images/9780593441299.jpg,A writer looking for her big break competes against a Pulitzer winner to tell the story of an octogenarian with a storied past.
2025-07-20,2025-07-05,Hardcover Fiction,MY FRIENDS,Fredrik Backman,9781982112820,Atria,8,8,9,https://www.amazon.com/dp/1982112824?tag=thenewyorktim-20,https://static01.nyt.com/bestsellers/images/9781982112820.jpg,A young woman looks into the story behind a painting that was made 25 years ago and a small group of teens depicted in it; translated by Neil Smith.
2025-07-20,2025-07-05,Hardcover Fiction,ONYX STORM,Rebecca Yarros,9781649377159,Red Tower,9,9,24,https://www.amazon.com/dp/1649374186?tag=thenewyorktim-20,https://static01.nyt.com/bestsellers/images/9781649377159.jpg,"The third book in the Empyrean series. As enemies gain traction, Violet Sorrengail goes beyond the Aretian wards in search of allies."
2025-07-20,2025-07-05,Hardcover Fiction,DON'T LET HIM IN,Lisa Jewell,9781668033876,Atria,10,1,2,https://www.amazon.com/dp/1668033879?tag=thenewyorktim-20,https://static01.nyt.com/bestsellers/images/9781668033876.jpg,A man with dark secrets in his past may cause trouble for three women who did not heed the warning about him.
2025-07-20,2025-07-05,Hardcover Fiction,THE FIRST GENTLEMAN,Bill Clinton and James Patterson,9780316565103,"Little, Brown and Knopf",11,6,5,https://www.amazon.com/dp/0316565105?tag=thenewyorktim-20,https://static01.nyt.com/bestsellers/images/9780316565103.jpg,"When President Wright’s husband goes on trial for murder, a pair of journalists search for answers."
2025-07-20,2025-07-05,Hardcover Fiction,THE KNIGHT AND THE MOTH,Rachel Gillig,9780316582704,Orbit,12,15,7,https://www.amazon.com/dp/0316582700?tag=thenewyorktim-20,https://static01.nyt.com/bestsellers/images/9780316582704.jpg,"Sybil Delling, who is gifted with the power of foresight, forms an alliance with a heretical knight when her sister Diviners disappear."
2025-07-20,2025-07-05,Hardcover Fiction,BROKEN COUNTRY,Clare Leslie Hall,9781668078181,Simon & Schuster,13,11,15,https://www.amazon.com/dp/166807818X?tag=thenewyorktim-20,https://static01.nyt.com/bestsellers/images/9781668078181.jpg,Beth must confront her past when the man she once loved as a teenager returns to the village with his son.
2025-07-20,2025-07-05,Hardcover Fiction,THE WEDDING PEOPLE,Alison Espach,9781250899576,Holt,14,13,31,https://www.amazon.com/dp/1250899575?tag=thenewyorktim-20,https://static01.nyt.com/bestsellers/images/9781250899576.jpg,A woman who is down on her luck forms an unexpected bond with the bride at a wedding in Rhode Island.
2025-07-20,2025-07-05,Hardcover Fiction,A MOTHER'S LOVE,Danielle Steel,9780593498736,Delacorte,15,3,2,https://www.amazon.com/dp/0593498739?tag=thenewyorktim-20,https://static01.nyt.com/bestsellers/images/9780593498736.jpg,"After her handbag is stolen during a trip to Paris, a best-selling author with a traumatic past determines not to be a victim."
2025-07-27,2025-07-12,Hardcover Fiction,ROSE IN CHAINS,Julie Soto,9781538771228,Forever,1,0,1,https://www.amazon.com/dp/1538771225?tag=thenewyorktim-20,https://static01.nyt.com/bestsellers/images/9781538771228.jpg,"After the dark forces win the war, Evermore's princess, Briony Rosewood, is auctioned off to a member of a family known for its viciousness."
2025-07-27,2025-07-12,Hardcover Fiction,THE IRRESISTIBLE URGE TO FALL FOR YOUR ENEMY,Brigitte Knightley,9780593819456,Ace,2,0,1,https://www.amazon.com/dp/0593819454?tag=thenewyorktim-20,https://static01.nyt.com/bestsellers/images/9780593819456.jpg,Aurienne Fairhrim accepts an offer to heal a member of an enemy faction and an attraction develops.
2025-07-27,2025-07-12,Hardcover Fiction,ATMOSPHERE,Taylor Jenkins Reid,9780593158715,Ballantine,3,1,6,https://www.amazon.com/dp/0593158717?tag=thenewyorktim-20,https://static01.nyt.com/bestsellers/images/9780593158715.jpg,"In the summer of 1980, Joan Goodwin begins training with a group of candidates for NASA’s space shuttle program."
2025-07-27,2025-07-12,Hardcover Fiction,THE WOMAN IN SUITE 11,Ruth Ware,9781668025628,Gallery/Scout,4,0,1,https://www.amazon.com/dp/1668025620?tag=thenewyorktim-20,https://static01.nyt.com/bestsellers/images/9781668025628.jpg,The second book in the Lo Blacklock series. Blacklock attends the opening of a luxury Swiss hotel and gets swept up in a dangerous pursuit across Europe.
2025-07-27,2025-07-12,Hardcover Fiction,THE WEDDING PEOPLE,Alison Espach,9781250899576,Holt,5,14,32,https://www.amazon.com/dp/1250899575?tag=thenewyorktim-20,https://static01.nyt.com/bestsellers/images/9781250899576.jpg,A woman who is down on her luck forms an unexpected bond with the bride at a wedding in Rhode Island.
2025-07-27,2025-07-12,Hardcover Fiction,THE VIEW FROM LAKE COMO,Adriana Trigiani,9780593183359,Dutton,6,0,1,https://www.amazon.com/dp/0593183355?tag=thenewyorktim-20,https://static01.nyt.com/bestsellers/images/9780593183359.jpg,"After a divorce and a loss in the family, Jess Capodimonte Baratta goes to Italy in search of love and a creative life."
2025-07-27,2025-07-12,Hardcover Fiction,ONYX STORM,Rebecca Yarros,9781649377159,Red Tower,7,9,25,https://www.amazon.com/dp/1649374186?tag=thenewyorktim-20,https://static01.nyt.com/bestsellers/images/9781649377159.jpg,"The third book in the Empyrean series. As enemies gain traction, Violet Sorrengail goes beyond the Aretian wards in search of allies."
2025-07-27,2025-07-12,Hardcover Fiction,GREAT BIG BEAUTIFUL LIFE,Emily Henry,9780593441299,Berkley,8,7,12,https://www.amazon.com/dp/059344129X?tag=thenewyorktim-20,https://static01.nyt.com/bestsellers/images/9780593441299.jpg,A writer looking for her big break competes against a Pulitzer winner to tell the story of an octogenarian with a storied past.
2025-07-27,2025-07-12,Hardcover Fiction,NEVER FLINCH,Stephen King,9781668089330,Scribner,9,3,7,https://www.amazon.com/dp/1668089335?tag=thenewyorktim-20,https://static01.nyt.com/bestsellers/images/9781668089330.jpg,Holly Gibney does double duty by helping head off acts of retribution and protecting a women’s rights activist.
2025-07-27,2025-07-12,Hardcover Fiction,MY FRIENDS,Fredrik Backman,9781982112820,Atria,10,8,10,https://www.amazon.com/dp/1982112824?tag=thenewyorktim-20,https://static01.nyt.com/bestsellers/images/9781982112820.jpg,A young woman looks into the story behind a painting that was made 25 years ago and a small group of teens depicted in it; translated by Neil Smith.
2025-07-27,2025-07-12,Hardcover Fiction,BROKEN COUNTRY,Clare Leslie Hall,9781668078181,Simon & Schuster,11,13,16,https://www.amazon.com/dp/166807818X?tag=thenewyorktim-20,https://static01.nyt.com/bestsellers/images/9781668078181.jpg,Beth must confront her past when the man she once loved as a teenager returns to the village with his son.
2025-07-27,2025-07-12,Hardcover Fiction,DON'T LET HIM IN,Lisa Jewell,9781668033876,Atria,12,10,3,https://www.amazon.com/dp/1668033879?tag=thenewyorktim-20,https://static01.nyt.com/bestsellers/images/9781668033876.jpg,A man with dark secrets in his past may cause trouble for three women who did not heed the warning about him.
2025-07-27,2025-07-12,Hardcover Fiction,THE KNIGHT AND THE MOTH,Rachel Gillig,9780316582704,Orbit,13,12,8,https://www.amazon.com/dp/0316582700?tag=thenewyorktim-20,https://static01.nyt.com/bestsellers/images/9780316582704.jpg,"Sybil Delling, who is gifted with the power of foresight, forms an alliance with a heretical knight when her sister Diviners disappear."
2025-07-27,2025-07-12,Hardcover Fiction,DUNGEON CRAWLER CARL,Matt Dinniman,9780593820247,Ace,14,0,1,https://www.amazon.com/dp/B08V8877BY?tag=thenewyorktim-20,https://static01.nyt.com/bestsellers/images/9780593820247.jpg,"A Coast Guard vet named Carl and his ex-girlfriend’s cat, Princess Donut, are trapped in a fantasy dungeon."
2025-07-27,2025-07-12,Hardcover Fiction,BURY OUR BONES IN THE MIDNIGHT SOIL,V.E. Schwab,9781250320520,Tor,15,6,5,https://www.amazon.com/dp/1250320526?tag=thenewyorktim-20,https://static01.nyt.com/bestsellers/images/9781250320520.jpg,"Stories set in Santo Domingo de la Calzada in 1532, London in 1827 and Boston in 2019 explore hunger, love and rage."
2025-08-03,2025-07-19,Hardcover Fiction,AN INSIDE JOB,Daniel Silva,9780063384217,Harper,1,0,1,https://www.amazon.com/dp/0063384213?tag=thenewyorktim-20,https://static01.nyt.com/bestsellers/images/9780063384217.jpg,"The 25th book in the Gabriel Allon series. The art world, the mob and the Vatican intersect when a Leonardo da Vinci painting goes missing."
2025-08-03,2025-07-19,Hardcover Fiction,THE ENCHANTED GREENHOUSE,Sarah Beth Durst,9781250333988,Bramble,2,0,1,https://www.amazon.com/dp/1250333989?tag=thenewyorktim-20,https://static01.nyt.com/bestsellers/images/9781250333988.jpg,"In this novel set in the world of “The Spellshop,” Terlu Perna must figure out a sorcerer’s secrets to save an island containing magical greenhouses."
2025-08-03,2025-07-19,Hardcover Fiction,THREE SHATTERED SOULS,Mai Corland,9781649379153,Red Tower,3,0,1,https://www.amazon.com/dp/1649379153?tag=thenewyorktim-20,https://static01.nyt.com/bestsellers/images/9781649379153.jpg,The third book in the Broken Blades series. Allegiances are upended as the Blades face new threats.
2025-08-03,2025-07-19,Hardcover Fiction,ATMOSPHERE,Taylor Jenkins Reid,9780593158715,Ballantine,4,3,7,https://www.amazon.com/dp/0593158717?tag=thenewyorktim-20,https://static01.nyt.com/bestsellers/images/9780593158715.jpg,"In the summer of 1980, Joan Goodwin begins training with a group of candidates for NASA’s space shuttle program."
