week,rank,title,author,isbn13,publisher,description,amazon_url,apple_price,apple_rating,apple_ratings_count,apple_store_link
2026-01-25,1,THE CORRESPONDENT,Virginia Evans,9780593798430,Crown,Letters from someone she used to know push Sybil Van Antwerp toward revisiting her past and finding a way to forgive.,https://www.amazon.com/dp/0593798430?tag=thenewyorktim-20,13.99,4.5,1972.0,https://books.apple.com/us/book/the-correspondent/id6618121844?uo=4
2026-01-25,2,THE FIRST TIME I SAW HIM,Laura Dave,9781668002964,Scribner,"Hannah’s husband turns up five years after he disappeared, which forces her to go on the run with her daughter.",https://www.amazon.com/dp/1668002965?tag=thenewyorktim-20,14.99,4.0,249.0,https://books.apple.com/us/book/the-first-time-i-saw-him-a-reese-witherspoon-book-club-pick/id6747125935?uo=4
2026-01-25,3,THE WIDOW,John Grisham,9780385548984,Doubleday,"When Simon Latch, a lawyer in rural Virginia, is accused of murder, he goes in search of the real killer.",https://www.amazon.com/dp/0385548982?tag=thenewyorktim-20,13.99,4.5,3812.0,https://books.apple.com/us/book/the-widow/id6743102775?uo=4
2026-01-25,4,THE SECRET OF SECRETS,Dan Brown,9780385546898,Doubleday,"As he searches for the missing noetic scientist he has been seeing, Robert Langdon discovers something regarding a secret project.",https://www.amazon.com/dp/0385546890?tag=thenewyorktim-20,15.99,4.5,3266.0,https://books.apple.com/us/book/the-secret-of-secrets/id6740945045?uo=4
2026-01-25,5,ALCHEMISED,SenLinYu,9780593972700,Del Rey,"After the war, an imprisoned alchemist is sent to a necromancer to recover her lost memories.",https://www.amazon.com/dp/0593972708?tag=thenewyorktim-20,14.99,4.5,723.0,https://books.apple.com/us/book/alchemised/id6739323727?uo=4
2026-01-25,6,BRIMSTONE,Callie Hart,9781538774229,Forever,"The second book in the Fae & Alchemy series. To save those close to them, Saeris and Fisher face a new set of dangers.",https://www.amazon.com/dp/1538774224?tag=thenewyorktim-20,11.99,4.5,641.0,https://books.apple.com/us/book/brimstone/id6739034863?uo=4
2026-01-25,7,RINGS OF FATE,Melissa de la Cruz,9781649376954,Red Tower,The fate of two kingdoms depends on the actions taken by a barmaid looking for freedom and a prince who carries powerful ancient weapons.,https://www.amazon.com/dp/1649376952?tag=thenewyorktim-20,14.99,4.5,8.0,https://books.apple.com/us/book/rings-of-fate/id6504491775?uo=4
2026-01-25,8,MONA'S EYES,Thomas Schlesser,9798889661115,Europa,A 10-year-old who may get permanent vision loss is bolstered by her grandfather’s quest to bring beauty into her life; translated by Hildegarde Serle.,https://www.amazon.com/dp/B0DTTH6GBV?tag=thenewyorktim-20,14.99,3.5,36.0,https://books.apple.com/us/book/monas-eyes/id6740883909?uo=4
2026-01-25,9,THE INTRUDER,Freida McFadden,9781464260919,Poisoned Pen,"During a rough storm, Casey puts herself in danger when she lets a girl, who is covered in blood, into her cabin.",https://www.amazon.com/dp/1464260915?tag=thenewyorktim-20,3.99,,,https://books.apple.com/us/book/the-intruder-by-freida-mcfadden/id6757399264?uo=4
2026-01-25,10,DUNGEON CRAWLER CARL,Matt Dinniman,9780593820247,Ace,"A Coast Guard vet named Carl and his ex-girlfriend’s cat, Princess Donut, are trapped in a fantasy dungeon.",https://www.amazon.com/dp/B08V8877BY?tag=thenewyorktim-20,,,,https://books.apple.com/us/book/dungeon-crawler-carl/id6742422608?uo=4
2026-01-25,11,ATMOSPHERE,Taylor Jenkins Reid,9780593158715,Ballantine,"In the summer of 1980, Joan Goodwin begins training with a group of candidates for NASA’s space shuttle program.",https://www.amazon.com/dp/0593158717?tag=thenewyorktim-20,14.99,4.5,1869.0,https://books.apple.com/us/book/atmosphere-a-gma-book-club-pick/id6737378634?uo=4
2026-01-25,12,THE VIPER,Brad Meltzer,9780062892430,Morrow,The third book in the Escape Artist series. A murder in pursuit of a priceless object brings up a cold case involving the death of Nola’s mother.,https://www.amazon.com/dp/0062892436?tag=thenewyorktim-20,14.99,4.0,74.0,https://books.apple.com/us/book/the-viper/id6748145499?uo=4
2026-01-25,13,THE INVISIBLE WOMAN,James Patterson and Susan DiLallo,9780316587075,"Little, Brown",An F.B.I. agent goes undercover to look into an art dealer’s potential connection to organized crime.,https://www.amazon.com/dp/0316587079?tag=thenewyorktim-20,14.99,4.0,90.0,https://books.apple.com/us/book/the-invisible-woman/id6745465986?uo=4
2026-01-25,14,TWICE,Mitch Albom,9780062406682,Harper,"Alfie Logan, who was gifted with the ability to live any moment a second time but must accept the outcomes, makes a risky love decision.",https://www.amazon.com/dp/006240668X?tag=thenewyorktim-20,14.99,4.5,504.0,https://books.apple.com/us/book/twice/id6740624790?uo=4
2026-01-25,15,GONE BEFORE GOODBYE,Reese Witherspoon and Harlan Coben,9781538774700,Grand Central,"When a mysterious man disappears, the former combat surgeon giving him medical assistance goes on the lam.",https://www.amazon.com/dp/1538774704?tag=thenewyorktim-20,14.99,4.0,1333.0,https://books.apple.com/us/book/gone-before-goodbye/id6705116471?uo=4
